name,alias,addr,lat,lon,tel,link,menu,flag,media
다이닝원,분당점,경기도 성남시 분당구 성남대로 912 (분당BYC빌딩 2층),37.41097,127.1292547,031-702-6274,"모두를 위한 식사, 프리미엄 뷔페 레스토랑","[평점] 22,900 [평저] 27,900 [주말] 29,900원|2024.2",,osQvHRdn9M4
닭갈비제작소,구리돌다리점,경기도 구리시 수택동 405-23 (1층),37.5997503,127.1418579,031-569-3737,"매일 공급되는 100% 국내산 닭고기로 만든 닭갈비, 음료수","13,900원|2022.8",,DbM5CPs863Y
닭갈비제작소,노원점,서울시 노원구 상계동 358-9 (2층),37.6575622,127.0623629,02-932-0223,매일 공급되는 100% 국내산 닭고기로 만든 닭갈비,"12,900원|2023.10",,yc7zHJkZ85s
닭갈비제작소,화정점,경기도 고양시 덕양구 화정동 975-1 (삼진빌딩 2층),37.6334588,126.8333827,031-971-0223,"철판 닭갈비, 닭갈비 구이, 공기밥, 음료수","13,900~14,900원|2024.08",,AJ-d47J8E80
대가참치,,서울시 동대문구 천호대로85길 11,37.562642,127.0661158,02-2242-4944,참치,"39,000~150,000원|2022.8",,xAnrptMZX7A
대반전,성남점,경기도 성남시 중원구 성남동 3163,37.4337073,127.1328433,031-758-2778,"(4인 가격, 1인 증가시 9천원+) 모듬전","45,000~58,000원|2022.5",,_R3T0IFRxL8
대진도원참치,강남역점,서울시 강남구 역삼동 822-7 (목화밀라트 지하1층),37.4989854,127.0295436,02-556-4588,참치,"45,000~100,000원|2022.10",,jPpVi3QX2co
더고기,서울대본점,서울시 관악구 봉천동 854-1,37.4801746,126.9536236,02-3285-3392,"돼지갈비, 삼겹살, 목살","12,000~15,000원|2021.8",,NZYtwBBkg34
더메이드뷔페,,서울시 강서구 마곡동 771-4 (이너매스 4층),37.5608356,126.8296186,02-3663-7090,"도심 속의 자연, 프리미엄 뷔페","[평점] 19,900 [평저] 25,900 [주말] 26,900원|2022.9",,Wo73IFJ8Ppg
더스시,의정부점,경기도 의정부시 의정부동 179-10 (2층),37.7399113,127.0491763,0507-1368-7066,"회전 초밥 (스시, 롤, 샐러드, 100% 생연어만 사용)","[평일점심] 22,900 [저녁및주말] 25,900원|2023.11",,GeK0LCrn1gQ
더스시,화정점,경기도 고양시 덕양구 화정동 978 (2층),37.6330288,126.8326757,031-970-7706,"회전 초밥 (스시, 롤, 샐러드, 100% 생연어만 사용)","[평일점심] 24,900 [저녁및주말] 27,900원|2024.08",,s73axdWMnlk
더아리엘,목동점,서울시 양천구 오목로 300 (지하1층),37.52483112,126.8700215,02-2655-0770,"[월,화 휴무] Seafood & Cook","[평일점심] 42,000 [저녁및주말] 65,900원|2024.02",,1thbVB2w_-Q
더차림,강남점,서울시 강남구 논현로167길 9,37.5244562,127.0274713,02-545-5993,(1만원대) 손맛으로 완성되는 수제퓨전 한식 100여가지 메뉴,,,11-FiAlR-fM
독도참치,강북구청점,서울시 강북구 한천로139나길 7,37.6391943,127.0250901,02-999-0802,(일요일 휴무)(오후 2시부터) 참치,"35,000~100,000원|2023.03",,pjodT53v-4g
돈판,,경기도 고양시 일산동구 장항동 734-2,37.6631283,126.7677724,031-916-5171,"삼겹살, 대패삼겹, 오리, 항정, 공기밥, 음료수, 주류","15,000~33,000원|2022.6",,kq2xMJKGUZ8
동래순훠궈,,서울시 강서구 마곡중앙6로 93 (3층),37.5601357,126.8376979,02-3661-5868,"훠궈(양고기, 소고기, 해산물, 야채), 모듬꼬치 (14종, 선택가능)","18,900~23,900원|2022.9",,e0RgcqnlgQw
동우회,화정점,경기도 고양시 덕양구 화정동 979-2 (백양빌딩 2층),37.6321006,126.8324958,0507-1382-0548,"프리미엄 소고기(갈비살, 등심, 부채, 안심, 차돌박이), 떡갈비, 삼겹살, 목살","29,900원|2024.06",,qHE_0B5CJKg
동천훠궈뷔페,,서울시 영등포구 영등포동3가 10-5,37.5168999,126.9074268,02-2677-0853,"훠궈 (양고기, 소고기, 삼겹살, 해산물, 야채)","17,000원|2021.9",,xs5yj72aysQ
돼지먹었소,,서울시 강동구 천호동 453-6 (강동빌딩 2층),37.5385706,127.1280422,070-4193-5040,"소고기 (4종) 또는 돼지고기(8종), 공기밥","17,900~27,900원|2024.05",,v57ToZg7yWM
두끼,NC강남점,서울시 서초구 잠원로 51,37.5092377,127.0074886,02-530-5643,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","10,900원|2023.8",,EV2qGU0YaCE
두끼,NC광명점,경기도 광명시 하안동 38 (6층),37.4612179,126.8794399,02-3397-2771,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2023.4",,85pL-51iy-4
두끼,NC야탑점,경기도 성남시 분당구 야탑동 357-1 (NC백화점 본관 7층),37.4107,127.1275,031-780-3608,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","8,900원|2022.5",,YyG-3lPhSPo
두끼,건대점,서울시 광진구 화양동 6-7번지 (2층),37.540476,127.0702257,02-462-7792,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2022.10",,t5Gj5oeniR0
두끼,구리돌다리점,경기도 구리시 체육관로 172번길 59 (2층),37.5998673,127.1394913,031-562-2771,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2022.7",,pnpVj1Dw4hw
두끼,대전둔산점,대전시 서구 둔산동 1072 대일빌딩 (2층),36.3518705,127.3762137,042-487-2771,"두끼 체인지업, 마라드림","10,900원|2023.6",,iwqQ8mHS2xo
두끼,롯데마트 금천점,서울시 금천구 독산동 441-6 (롯데마트 지하1층),37.4611279,126.8971971,02-804-2771,"즉석 떡볶이, 좋은 사람들과 함께하는 가치","10,900원|2024.8",,XkDpoBiMu-o
두끼,롯데마트 울산점,울산시 달동 833-1  (롯데마트 1층),35.5339498,129.3157036,052-269-2422,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","10,900원|2023.8",,FGUjZCTIaTc
두끼,명동역점,서울시 중구 충무로2가 3-35,37.5622956,126.9858506,02-318-1333,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","8,900원|2021.6",,crpZsvn0w7w
두끼,신림역점,서울시 관악구 신림동 1641-23 (2층),37.4819012,126.9301992,02-877-2771,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2022.12",,wGgMogAStVE
두끼,안양1번가점,경기도 안양시 만안구 안양로304번길 28 (2층),37.399904,126.9224889,031-444-2771,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2023.5",,Us5vPQ1wcrU
두끼,일산웨스턴돔점,경기도 고양시 일산동구 정발산로 39 (2층),37.6573519,126.7730971,031-907-2771,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","9,900원|2022.7",,ywuxic00hgI
두끼,천호로데오점,서울시 강동구 올림픽로 70길 50,37.539128,127.1263782,02-474-2771,"두끼 체인지업, 마라드림","10,900원|2023.8",,sdzryjhyTHY
두끼,한양대점,서울시 성동구 마조로 30 (3층),37.5602929,127.0414858,02-2291-2771,"(만원이하) 떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""",,,FqLcj3W24XE
두끼,홍대점,서울시 마포구 홍익로6길 8 (2층),37.5548944,126.9225298,02-325-0737,"떡볶이로 한끼! 볶음밥으로 두끼! ""맛있는 떡볶이, 그 이상의 즐거움""","10,900원|2024.01",,lesi2GTfbBI
따봉브라질,,서울 용산구 이태원동 168-12 (2F),37.5345281,126.9918238,02-797-3363,"브라질 가정식, 스테이크 '슈하스코 Churrasco', 생생정보 (2014.12.18) 방영","15,000~53,000원|2023.2",,WeY1zEIm97w
뜻밖에양꼬치,,서울시 마포구 동교동 163-3,37.5551155,126.9230289,010-5505-8411,양어깨살스테이크 + 셀프주먹밥,"31,800원|2024.06",,Zw-Bwi41EFU
라스카그릴(Lasca Grill),동탄점,경기도 화성시 오산동 967-62 (3층),37.2043764,127.0983152,031-377-2592,"[월요일 휴무, 평일 4:30, 주말 12시부터] 슈하스코 (브라질식 스테이크)","[평일] 40,000~50,000 [주말] 40,000원|2024.09",,kwyEy3K9VvM
"라장양갈비,양꼬치 무한리필",강남점,서울특별시 강남구 역삼동 619-30 (지상3층),37.500863,127.0277196,0507-1345-6758,"양꼬치, 식사류 (+가격에 따라 양걀비, 요리 1인분씩 추가)","23,900~27,900원|2024.12",,uO8jsZYIkTI
란꾸이팡,서초점,서울시 서초구 서초대로75길 45 (2층),37.5014898,127.0245179,02-599-2168,"(2~3만원대) 모듬꼬치(양꼬치,양삼겹,소갈비,돈삽겹,새우,막창,어묵)",,,-AGt3Q4lze4
램프리,하남점,경기도 하남시 망월동 1079-2 (3층),37.5664362,127.1897332,031-792-6602,"양꼬치,삼겹살,소꼬치,닭꼬치,소시지","21,800원|2024.01",,em_WTLWaRIY
램프리 무한리필,2호점,경기도 하남시 망월동 1111 (2층),37.5614202,127.1918768,031-792-1922,(2인 이상) 모듬꼬치,"21,800원|2023.2",,Gcv_rl095Nc
레이크사이드,힐튼 경주,경상북도 경주시 신평동 370 (1층),35.839995,129.2856989,054-740-1777,"[주말/ 공휴일 5,000원 추가] 다양한 세계 각국의 요리와 신선한 스시& 즉석요리","[점심] 55,000 [저녁] 70,000원|2023.7",,U9ZlvIgvE7U
마뇨떡볶이,신림점,서울시 관악구 신림동 1638-1 (2층),37.4822482,126.9289366,02-873-6262,"(2인이상) 30가지 토핑 즉석떡볶이,돈까스,탕수류,튀김,음료","8,900원|2023.1",,-ifBTJf_vNQ
마뇨떡볶이,위례점,경기도 성남시 수정구 창곡동 513-6 (이너매스 위례 2층 205호),37.4731133,127.1497392,031-758-6701,"30가지 토핑의 즉석 떡볶이, 돈까스, 음료수","10,900원|2024.05",,Eqswt4DceBo
마벨리에,시흥점,서울시 금천구 시흥동 992-47 (홈플러스 7층),37.4519048,126.9007948,02-807-0700,"(월휴무) 호텔급 인테리어, 품위있는 분위기, 최고의 셰프","[평점] 37,900 [평저] 49,900 [주말]  54,900원|2024.8",,IGrwiBbbPiI
마키노차야 블랙31,잠실 롯데타워점,서울시 송파구 신천동 29 (롯데월드타워 31층),37.5125702,127.1025625,070-5224-0866,바다에서 식탁까지 절대적인 신선함만 담다,"[평일점심] 95,000 [저녁및주말] 125,000원|2023.8",,Qdl379oB_kE
만이갈비,구리수택점,경기도 구리시 수택동 516-28,37.59849,127.1447,031-562-6622,"수제갈비 / 생목살, 삼겹살, 고추장삼겹살, 공기밥","15,000원|2022.7",,A_ZT6caZB18
만족양꼬치,영등포본점,서울시 영등포구 영등포동3가 23-5 (2층),37.5179474,126.9091729,02-2069-1005,모듬꼬치,"15,900원|2021.9",,zdqzLpNV1x0
맛자랑맛집,,서울시 영등포구 영등포동4가 75-3,37.5190245,126.9042809,02-2069-1233,"고기무한리필, 고기와 생선이 있는 한식뷔페","7,000~25,000원|2021.9",,jZOeCaJ8Ajw
먹고보자양꼬치,수진점,경기도 성남시 수정구 수진동 81,37.4406062,127.1332045,031-751-3211,"양꼬치 (양갈비,삼겹살,껍데기,새우,똥집)","14,900원|2022.5",,1yVDq0ychtc
명륜진사갈비,광명하안점,경기도 광명시 하안동 33-6 삼전빌딩 (2층),37.4632277,126.8803079,02-899-6698,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","17,900원|2023.3",,GIjowGYXyB8
명륜진사갈비,군포산본점,경기도 군포시 산본동 1123-4,37.3600098,126.9297765,031-391-3694,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","17,900원|2023.4",,j7nyr3wQZuQ
명륜진사갈비,미아사거리점,서울시 강북구 미아동 87-54,37.6163762,127.0336615,02-987-9966,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 목살, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료수","18,900원|2023.10",,r5-rIOMOAaI
명륜진사갈비,분당 미금점,경기도 성남시 분당구 금곡동 153 (2층),37.3503982,127.1107975,031-711-7486,"숯불돼지갈비, 공기밥, 음료","16,500원|2022.7",,HJQqLj-UKyw
명륜진사갈비,서울노원점,서울시 노원구 상계로1길 38-11,37.6579785,127.0621185,02-935-0556,"숙성 숯불돼지갈비, 숯불닭갈비, 삼겹살, 공기밥, 음료","17,900원|2023.10",,zYAduOL5L3o
명륜진사갈비,서울명일점,서울시 강동구 명일동 334-10 (1층),37.5492515,127.1438968,02-428-1939,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 목살, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료수","19,900원|2024.04",,wD6QccSEuZE
명륜진사갈비,서울삼전점,서울시 송파구 삼전동 128-1 (1층),37.5057676,127.0963069,02-6412-8292,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","18,900원|2023.9",,R2-wTAGPUWg
명륜진사갈비,서울성균관대점,서울시 종로구 명륜3가 53번지,37.5858106,126.9957415,02-747-9279,"숙성 숯불돼지갈비, 공기밥, 음료","14,900원|2021.10",,rH8Xzl-Zbgo
명륜진사갈비,서울신촌점,서울시 서대문구 창천동 2-80,37.5592403,126.9395785,02-313-0522,"숙성 숯불돼지갈비,공기밥,음료","13,500~14,900원|2021.5",,pkaUGXWGerQ
명륜진사갈비,서울합정점,서울시 마포구 합정동 413-25,37.5487543,126.9153806,02-323-6699,"숙성 숯불돼지갈비, 등갈비(돈마호크), 통삼겹, 목살, 숯불닭갈비, 스테이크, 떡볶이, 튀김, 공기밥, 음료수","19,900원|2024.05",,59RQjrY81gY
명륜진사갈비,성남위례점,경기도 성남시 수정구 창곡동 509-2 (2층),37.4722575,127.1426642,031-758-9272,"숙성 숯불돼지갈비, 등갈비(돈마호크), 통삼겹, 목살, 숯불닭갈비, 페퍼스테이크, 떡볶이, 튀김, 공기밥, 음료수","19,900원|2024.05",,dQE7_GeEObY
명륜진사갈비,시흥사거리점,서울시 금천구 시흥동 870-10,37.4575391,126.8999281,02-802-6888,"숙성 숯불돼지갈비, 등갈비(돈마호크), 통삼겹, 목살, 숯불닭갈비, 페퍼스테이크, 떡볶이, 튀김, 공기밥, 음료수, 생맥주","19,900원|2024.8",,XOLOLDarZlQ
명륜진사갈비,영종도운서운남점,인천시 중구 운남동 1602-11 (2층),37.4776792,126.5055185,0507-1405-9919,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료수","18,900원|2023.9",,GpcZGvlBugE
명륜진사갈비,은계점,경기도 시흥시 은행동 646-1,37.4369143,126.801612,031-311-7661,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","18,900원|2023.4",,1uB__YZZKbU
명륜진사갈비,장안점,서울시 동대문구 장안동 141-30,37.5725654,127.066861,02-2212-1204,"숙성 숯불돼지갈비, 공기밥, 음료","16,500원|2022.7",,atHjamQEL6U
명륜진사갈비,제주노형점,제주도 제주시 노형동 1055-1 (2층),33.4886407,126.4759482,064-747-9272,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","18,900원|2023.9",,09_P-utbAJQ
명륜진사갈비,종로관철점,서울시 종로구 관철동 12-2,37.5690211,126.9867687,02-734-8560,"숙성 숯불돼지갈비, 공기밥, 음료수","14,900원|2021.7",,S94WcJi8MM4
명륜진사갈비,포항 남부시장점,경상북도 포항시 남구 상도동 634-3 (1층),36.0130078,129.3572169,054-274-7792,"숙성 숯불돼지갈비, 등갈비(프렌치렉/돈마호크), 통삼겹, 숯불닭갈비, 떡볶이, 튀김, 공기밥, 음료","18,900원|2023.7",,JiSSsnkxIEE
명현만간장게장,합정점,서울시 마포구 서교동 490 (메세나폴리스 1층),37.5502164,126.9140521,0507-1302-3837,"[2인 이상] 숫꽃게 간장게장, 양념게장, 떡볶이, 튀김","35,800원|2023.12",,hT3-T6qgFZw
몬스타쉐프의 무한곱창,본점 (1호점),서울시 송파구 방이동 62-12,37.5136545,127.1087953,02-421-4433,"(2~3만원대) 곱창, 대창, 막창, 우삼겹, 주먹밥, 음료수, 소주",,,pZgZ9uuWAco
